Komentar,Penulis,Likes,Published_at,balasan
ishowspeed language english ishowspeed language indonesia,@ainunlutfiyah,2,2024-11-04T13:57:22Z,
i love ishowspeeds video hes so awesome siuuuu,@TRDARUSSALAM,2,2024-11-04T13:02:59Z,
greetings from indonesia,@MuhamadAskar-k5v,2,2024-11-04T12:25:15Z,
hello your iso speed is now in indonesia cool cool can say tobrut,@arissanto8812,2,2024-11-04T12:05:34Z,
 background ,@EJ________123-y2f,1,2024-11-04T11:23:16Z,
 njir langsung ketemu cok,@AmirFatihToyibTimpik,3,2024-11-04T11:11:15Z,
man that was insane yo like,@ElevatorGuy9192,0,2024-11-03T20:08:58Z,
 bro criminally caught in k xd,@indihome2728-x8c,0,2024-11-03T13:02:22Z,
ada indonesia coyyyyy thanks for coming to indonesia,@Ibaskaraa,0,2024-11-03T07:56:43Z,
w,@SsS-uq4qj,0,2024-11-03T04:16:28Z,w
you speed you are my favorite nigga you are real,@DerrickPaff-l6w,0,2024-11-03T00:03:00Z,
allah,@labplays7288,0,2024-11-02T21:23:47Z,
wwwwww,@labplays7288,0,2024-11-02T21:23:15Z,
tanpa kalian sadaro di scene ini pertama kalinya reza arap muncul,@Parzivall664,1,2024-11-02T17:51:51Z,bener
whats the indonesian song at sounds good,@honeymarinade3935,1,2024-11-02T07:30:22Z,mahalini  sisa rasa
hai speed you plis indonesia jakarta,@jelitajelita7607,1,2024-11-02T04:40:00Z,
no way this became the most popular stream on his channel,@mem1nem,0,2024-11-02T02:52:58Z,
awas setan,@AHMAD-mw6qr,1,2024-11-02T00:27:13Z,
for ishowspeed these are word from indonesia anjay kerja bagus assalamualaikum,@Frozttie-ganteng,2,2024-11-01T20:38:37Z,
kocak,@Reyhaneka04,1,2024-11-01T19:04:37Z,
say wkwkwkwkwkwk,@robithfathoni2081,1,2024-11-01T11:17:37Z,no
,@yehezkielpaulus5922,1,2024-11-01T05:37:27Z,haha
,@swatipratapsingh8400,0,2024-11-01T04:10:07Z,
 barking fight against messi fan,@Vardhan179,3,2024-11-01T04:03:08Z,
so many indonesian baddiesss bro,@ャドーストライカー,4,2024-10-31T22:03:32Z,down bad bro but i agree tyroneftp
 m viewers,@Ottomanempirebestempire,4,2024-10-31T10:54:08Z,
santai migirlu misikin,@momskarinbhimojuna4778,2,2024-10-31T06:44:52Z,
good bro,@ADITYARY1,2,2024-10-30T17:03:59Z,
when ishowspeed ke indo lgi,@Sanz446,2,2024-10-30T15:38:16Z,
indomie i love it it even in cambodia,@mengkhengchhuon9550,1,2024-10-30T14:11:54Z,"thank you our fellow cambodian, love from indonesia"
mso skow,@sandraputri2503,1,2024-10-30T09:37:24Z,
eeeeeeeeeeeeeooooooooooo,@sandraputri2503,1,2024-10-30T09:36:08Z,
hello im to indonesia say halo aku dari amerika,@MuhammadRama-u5k,2,2024-10-30T02:35:22Z,
terakhir,@fauzyarman6783,1,2024-10-29T22:36:06Z,
,@MarcelKsuuma,5,2024-10-29T22:32:17Z,
bahas lagi mas yang lebih detil limbah kardus,@aryandarsya,2,2024-10-29T16:50:07Z,
brooo,@Kruger6,1,2024-10-29T10:22:05Z,
koreans sparked a revolution a new movement a new meta in streaming koreans created group mob sniping giving gifts and wilding out every country after speeds korea irl streams copied the koreans from korea irl streams never have any country once group mob sniped before korea streams not even once not even in brazil and not even in japan not even once out of the dozens of countries speed streamed in speeds korea streams was the most influential streams in history of streaming the koreans sparked a chain of events that propelled speeds irl career to new heights now every country speed visited after korea tried so hard to copy the koreans it shows how powerful the koreans are in influencing the entire world on how to act and behave the koreans shocked the world and the world has gone mad crazy because of the koreans please thank your korean masters for teaching you everything if it wasnt for speeds korean streams his irl streaming career would have been a failure for every country he visits and would have been plain and boring like his japan streams please thank your korean masters for everything and no need to stay angry mad bitter and jealous learn to accept reality and the truth thailands one the most sorriest saddest embarrassing places on earth along with japan thailands just old people and farmers and ladibois and indians n bar workers street workers n cringe sorry foreigners n awkward creepy balding sex tourists and just awkward weird middle aged people farmers blasting random music to farmers and old people isnt nightlife how embarrassing its about sorry as japan with its bitter angry sorry cringe awkward foreigner weebs to its annoying ft tall lb skinny frail autistic loner mutes wearing backpacks and randomly blurting out autistic sounds and its embarrassing looking diminutive puny cars with tiny wheels going mph toki yoki yo fasta fastaaa,@JENNIEKIMWORLD,1,2024-10-29T09:15:44Z,huh
 nami ,@Daikki24,0,2024-10-29T07:32:19Z,
miss,@systemind173,1,2024-10-28T18:20:51Z,
 st indoneaian yang ngajarin santai,@JOKER-kc8gn,28,2024-10-28T13:49:46Z,harus diapresiasi lebih coyy
,@vianeraldorg,1,2024-10-28T13:45:36Z,
i like love ishowspeed noraldo suuuuuuuuuuuu i liked love them,@Joeibana,0,2024-10-28T11:05:15Z,
ishow speed play free fire,@UanSuhendra,1,2024-10-28T09:31:27Z,
indonesia ya aku indonesia kalian juga indonesia ya,@Kimana-b1k,1,2024-10-28T07:47:35Z,
 lmao,@zamanshojib7906,0,2024-10-28T04:28:59Z,
ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage ishowburntsausage,@Bigbuffman245,0,2024-10-27T20:43:04Z,
indonesia is crazy,@HimanshuBeflawat,1,2024-10-27T15:59:56Z,
insimmax,@qwiktordream1534,1,2024-10-27T12:54:10Z,
